지점,지점명,일시,기온(°C),습도(%),증기압(hPa),이슬점온도(°C),일조(hr),적설(cm),지면상태(지면상태코드),지면온도(°C)
90,양양군,2023-01-01 0:00,3.4,42,3.3,-8.3,,,,-0.1
90,양양군,2023-01-01 1:00,3,44,3.3,-8,,,,-0.3
90,양양군,2023-01-01 2:00,2.7,44,3.3,-8.3,,,,-0.6
90,양양군,2023-01-01 3:00,2.7,44,3.3,-8.3,,,,-0.7
90,양양군,2023-01-01 4:00,2.7,41,3,-9.2,,,,-1.3
90,양양군,2023-01-01 5:00,1.7,39,2.7,-10.8,,,,-1.7
90,양양군,2023-01-01 6:00,1.4,36,2.4,-12,,,,-2.1
90,양양군,2023-01-01 7:00,1.7,32,2.2,-13.2,,,,-2
90,양양군,2023-01-01 8:00,1.7,30,2.1,-14,0.1,,,-1.7
90,양양군,2023-01-01 9:00,3.2,24,1.8,-15.4,1,,,-1.1
90,양양군,2023-01-01 10:00,4.4,20,1.7,-16.6,1,,,0.1
90,양양군,2023-01-01 11:00,5.4,19,1.7,-16.4,1,,,3.6
90,양양군,2023-01-01 12:00,6,18,1.7,-16.5,1,,,6.3
90,양양군,2023-01-01 13:00,7.1,15,1.5,-17.8,1,,,7.2
90,양양군,2023-01-01 14:00,7.3,14,1.4,-18.5,1,,,7.8
90,양양군,2023-01-01 15:00,6.9,13,1.3,-19.7,1,,,6.4
90,양양군,2023-01-01 16:00,6,12,1.1,-21.3,1,,,2.3
90,양양군,2023-01-01 17:00,4.4,14,1.2,-20.8,0.7,,,0.2
90,양양군,2023-01-01 18:00,3.4,14,1.1,-21.6,0,,,-0.9
90,양양군,2023-01-01 19:00,2.2,15,1.1,-21.8,,,,-1.7
90,양양군,2023-01-01 20:00,1.2,14,0.9,-23.4,,,,-2.2
90,양양군,2023-01-01 21:00,1.8,12,0.8,-24.6,,,,-2
90,양양군,2023-01-01 22:00,1.2,12,0.8,-25.1,,,,-1.7
90,양양군,2023-01-01 23:00,0.7,13,0.8,-24.6,,,,-2
90,양양군,2023-01-02 0:00,0.5,13,0.8,-24.8,,,,-2
90,양양군,2023-01-02 1:00,-1.9,19,1,-22.5,,,,-2.7
90,양양군,2023-01-02 2:00,-2,21,1.1,-21.4,,,,-4.1
90,양양군,2023-01-02 3:00,-3.2,24,1.2,-20.9,,,,-3.9
90,양양군,2023-01-02 4:00,-4,25,1.1,-21.1,,,,-4.2
90,양양군,2023-01-02 5:00,-3.9,24,1.1,-21.5,,,,-5
90,양양군,2023-01-02 6:00,-4.7,26,1.1,-21.3,,,,-4.9
90,양양군,2023-01-02 7:00,-4.1,24,1.1,-21.7,,,,-4.7
90,양양군,2023-01-02 8:00,-4.1,25,1.1,-21.2,0.1,,,-4.5
90,양양군,2023-01-02 9:00,-2.4,24,1.2,-20.2,1,,,-3.8
90,양양군,2023-01-02 10:00,0.4,20,1.3,-20,1,,,-1.7
90,양양군,2023-01-02 11:00,1.2,17,1.1,-21.2,1,,,2.6
90,양양군,2023-01-02 12:00,3.4,18,1.4,-18.7,1,,,5.9
90,양양군,2023-01-02 13:00,3.3,23,1.8,-15.9,1,,,7.3
90,양양군,2023-01-02 14:00,3.3,24,1.9,-15.3,1,,,8.3
90,양양군,2023-01-02 15:00,3.8,27,2.2,-13.5,1,,,7.1
90,양양군,2023-01-02 16:00,3.5,18,1.4,-18.6,1,,,1.6
90,양양군,2023-01-02 17:00,1.4,20,1.4,-19.1,0.8,,,-1
90,양양군,2023-01-02 18:00,0.8,21,1.4,-19.1,0,,,-1.6
90,양양군,2023-01-02 19:00,-0.1,22,1.3,-19.3,,,,-2.1
90,양양군,2023-01-02 20:00,-0.7,23,1.3,-19.3,,,,-2.2
90,양양군,2023-01-02 21:00,-0.3,22,1.3,-19.5,,,,-2.2
90,양양군,2023-01-02 22:00,-0.3,21,1.3,-20,,,,-2.9
90,양양군,2023-01-02 23:00,-1.6,23,1.2,-20.1,,,,-3.5
90,양양군,2023-01-03 0:00,-1.5,23,1.3,-20,,,,-3.9
90,양양군,2023-01-03 1:00,-2.5,25,1.3,-19.9,,,,-4.1
90,양양군,2023-01-03 2:00,-2.7,25,1.2,-20.1,,,,-4.3
90,양양군,2023-01-03 3:00,-2.2,22,1.1,-21.1,,,,-4.6
90,양양군,2023-01-03 4:00,-1.8,21,1.1,-21.3,,,,-4.2
90,양양군,2023-01-03 5:00,-3.3,25,1.2,-20.6,,,,-3.9
90,양양군,2023-01-03 6:00,-2.9,23,1.1,-21.2,,,,-5.1
90,양양군,2023-01-03 7:00,-4.3,27,1.2,-20.6,,,,-5.5
90,양양군,2023-01-03 8:00,-3.9,25,1.1,-21.1,0.2,,,-5.4
90,양양군,2023-01-03 9:00,-1.1,25,1.4,-18.7,1,,,-4.8
90,양양군,2023-01-03 10:00,0.9,23,1.5,-18,1,,,-2.2
90,양양군,2023-01-03 11:00,2.7,20,1.5,-18.1,1,,,2.9
90,양양군,2023-01-03 12:00,4.4,12,1,-22.6,1,,,5.9
